_id,comment_number,comment_text,Name
64e0349546fba4d64b0b5a02,1,https://vote.djmag.com <--- Thank you for voting for me! This community is everything. We're here together!,PLAY
64e0349546fba4d64b0b5a03,2,❤❤❤,PLAY
64e0349546fba4d64b0b5a04,3,Who was there in 2023?😢,PLAY
64e0349546fba4d64b0b5a05,4,Masterpiece ❤,PLAY
64e0349546fba4d64b0b5a06,5,Who watching this in 2023,PLAY
64e0349546fba4d64b0b5a07,6,Play \nK-391 ❤❤❤❤\nFaded\nAlone \nHello,PLAY
64e0349546fba4d64b0b5a08,7,Alan Walker \nPlay K-391 2019 ❤\n\nCover\n\nBrisa Star \nVem Pro Meu Piseiro 2022 ❤,PLAY
64e0349546fba4d64b0b5a09,8,🔥,PLAY
64e0349546fba4d64b0b5a0a,9,Saya akan lihat lagi versi video ini ditahan 2025,PLAY
64e0349546fba4d64b0b5a0b,10,Who 2023???🎉🎉🎉🎉🎉❤❤❤❤❤❤,PLAY
64e0349546fba4d64b0b5a0c,11,Best songs,PLAY
64e0349546fba4d64b0b5a0d,12,I love ur beats n vibes pliz make more to keep me going❤❤❤❤❤❤❤,PLAY
64e0349546fba4d64b0b5a0e,13,Nostalgia omg Alan walker,PLAY
64e0349546fba4d64b0b5a0f,14,Woww good Alan walker play🙌,PLAY
64e0349546fba4d64b0b5a10,15,que musicas amigos 🥰,PLAY
64e0349546fba4d64b0b5a11,16,"I will find you and we will share a happy life. Even though I don't know you and never met you before, I already miss you.",PLAY
64e0349546fba4d64b0b5a12,17,👍,PLAY
64e0349546fba4d64b0b5a13,18,NICE  TALENTED DJ,PLAY
64e0349546fba4d64b0b5a14,19,hiiiii guys let's reach 2 billion views in 2030 let's do it !!!!!!!!!!!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,PLAY
64e0349546fba4d64b0b5a15,20,From India,PLAY
64e0349546fba4d64b0b5a16,21,This video amazing,PLAY
64e0349546fba4d64b0b5a17,22,legendery music,PLAY
64e0349546fba4d64b0b5a18,23,This is my favourite song,PLAY
64e0349546fba4d64b0b5a19,24,1:13 to  1:52 my faavourite part👌👌👌👌,PLAY
64e0349546fba4d64b0b5a1a,25,This song inspires me.,PLAY
64e0349546fba4d64b0b5a1b,26,Akan walker asu,PLAY
64e0349546fba4d64b0b5a1c,27,Ive listened to the song a b7nch never watched this video. I loved where the purple streams shot out of your computers like they were making their way to all your fans to make that connecti9n like an ethernet cable ❤,PLAY
64e0349546fba4d64b0b5a1d,28,"I loved this beat for making me happy, and then yall took it and made it sad as can be and i love to hate that. ❤ this ones always been one of my faborites i just staw away from it cuz it makes me sad.",PLAY
64e0349546fba4d64b0b5a1e,29,Sounds like faded,PLAY
64e0349546fba4d64b0b5a1f,30,❤,PLAY
64e0349546fba4d64b0b5a20,31,NICE ALAN WAKER NICE,PLAY
64e0349546fba4d64b0b5a21,32,who's the singer of this song?,PLAY
64e0349546fba4d64b0b5a22,33,I’m a time traveller actually 2034,PLAY
64e0349546fba4d64b0b5a23,34,It so great.😍😍😍👍,PLAY
64e0349546fba4d64b0b5a24,35,Good,PLAY
64e0349546fba4d64b0b5a25,36,Kocham was ❤,PLAY
64e0349546fba4d64b0b5a26,37,"Alan Walker, don't stop yourself from creating songs of yours. Your songs are so beautiful and melodious.",PLAY
64e0349546fba4d64b0b5a27,38,Anybody here in 2023?,PLAY
64e0349546fba4d64b0b5a28,39,Love it,PLAY
64e0349546fba4d64b0b5a29,40,I LOVE your songs Alan,PLAY
