_id,comment_number,comment_text,Name
64df104fabdfc5db9e1666f0,1,https://vote.djmag.com <--- Thank you for voting for me! This community is everything. We're here together!,Time
64df104fabdfc5db9e1666f1,2,🤩😍,Time
64df104fabdfc5db9e1666f2,3,Грандиозно и вдохновляюще!!!,Time
64df104fabdfc5db9e1666f3,4,HANS ZIMMER not just composes music he feels it in his veins... TRUE LEGEND,Time
64df104fabdfc5db9e1666f4,5,a minute of silence for the people who have not yet heard this first universal wonder,Time
64df104fabdfc5db9e1666f5,6,"Just discover this, ist... who in 2023?",Time
64df104fabdfc5db9e1666f6,7,Great!,Time
64df104fabdfc5db9e1666f7,8,Epic remix 🫨🫠🫥 thanks Alan🙇🙇,Time
64df104fabdfc5db9e1666f8,9,💛Hermoso💜🙏,Time
64df104fabdfc5db9e1666f9,10,La mejor parte es cuando 1:31,Time
64df104fabdfc5db9e1666fa,11,best of the best,Time
64df104fabdfc5db9e1666fb,12,J'adore cette chanson!,Time
64df104fabdfc5db9e1666fc,13,"I don't know which is the best, the original, Alan's remix or *We Plants Are Happy Plants'* remix",Time
64df104fabdfc5db9e1666fd,14,"Brillante y Divinaaaa🤣!!!\n💚🙏💜Dios os Bendiga, herman@s!!!",Time
64df104fabdfc5db9e1666fe,15,i d k hwo u r but alan follow me at that time we met feeling match to share our frienship life LDR,Time
64df104fabdfc5db9e1666ff,16,Absolute masterpiece.\nSeeing people from all over the world coming together for fantastic music like this is truly what makes the Walkers so special---- a sense of unity and community you don't find in other fanbases for popular artists. I know Alan talks about how Hans Zimmer has always been his greatest inspiration--- working together on this must have been the experience of a lifetime.\nCongrats Alan!! ❤❤❤❤❤,Time
64df104fabdfc5db9e166700,17,Wow. This is amazing,Time
64df104fabdfc5db9e166701,18,T. I. M. E can change 🌎🌎🌎🌎🌎❤️❤️❤️❤️❤️❤️❤️❤️,Time
64df104fabdfc5db9e166702,19,Tá se cumprindo 💜 é Roxo!,Time
64df104fabdfc5db9e166703,20,💐💐💐💐🌺🌺🌺🌺❤❤❤,Time
64df104fabdfc5db9e166704,21,💜!,Time
64df104fabdfc5db9e166705,22,"It is just me or this is just a copy of Madis, and it is juat me again or it is just all seen aye in all trough video?",Time
64df104fabdfc5db9e166706,23,La Obra ❤😊,Time
64df104fabdfc5db9e166707,24,💪🇦🇷🇦🇷🇦🇷😎💪,Time
64df104fabdfc5db9e166708,25,i am sure this is for covid,Time
64df104fabdfc5db9e166709,26,🎉🎉🎉,Time
64df104fabdfc5db9e16670a,27,Absolute the best version of this peace of music 😊👍,Time
64df104fabdfc5db9e16670b,28,Great tune,Time
64df104fabdfc5db9e16670c,29,This one is very cool but i prefer the Pen Perry Remix,Time
64df104fabdfc5db9e16670d,30,The soul is eternal,Time
64df104fabdfc5db9e16670e,31,Is it made from Inception soundtrack?,Time
64df104fabdfc5db9e16670f,32,Good music!!!,Time
64df104fabdfc5db9e166710,33,Good job,Time
64df104fabdfc5db9e166711,34,PROPER HARDCORE! 🖖🏾❤,Time
64df104fabdfc5db9e166712,35,Reminds you that time is short and you should stop whatever habits you have to love one another before your time runs out.,Time
64df104fabdfc5db9e166713,36,kagge,Time
64df104fabdfc5db9e166714,37,Top. Merci,Time
64df104fabdfc5db9e166715,38,Brilliant remix,Time
